,Tribunal,government,Décheterie,public,Departement,Mairie,beauty,arts_centre,cinema,music_school,community_centre,library,museum,theatre,alcohol,bakery,bank,butcher,car,cheese,chocolate,deli,florist,greengrocer,hairdresser,laundry,marketplace,optician,pastry,pharmacy,seafood,supermarket,tobacco,College,Crèche,Lycée,Maternelle,Primaire,University,bar,cafe,casino,commercial,fast_food,food_court,nightclub,pub,restaurant,zoo,dentist,doctors,hospital,laboratory,attraction,hotel,office,park,playground,Pompier,police,post_office,platform,station,church,mosque,cathedral,antiques,books,clothes,convenience,cosmetics,electronics,fashion_accessories,furniture,garden_centre,interior_decoration,jewelry,mall,music,musical_instrument,perfumery,retail,shoes,tea,travel_agency,vacant,vacuum_cleaner,watches,wine,bicycle_parking,bicycle_rental,fitness_centre,sports,sports_centre,sports_hall,swimming_pool,Prix m2,lat,lon
6024,0,0,1,0,0,0,2,2,0,0,3,1,1,0,0,6,0,2,2,0,0,0,3,1,5,2,0,1,0,6,1,5,0,4,3,0,2,6,7,8,14,0,0,11,0,0,1,20,0,4,1,2,0,4,1,2,3,25,0,0,4,35,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,127,11,2,0,5,0,1,5068.69,50.623868,3.034142
6025,0,1,0,1,1,1,4,3,0,0,2,3,1,2,0,7,0,2,1,0,1,0,0,0,6,0,2,1,0,6,0,3,0,2,1,1,0,2,5,9,10,1,0,19,0,0,2,33,0,0,2,2,1,1,10,7,6,7,1,1,1,37,6,3,1,0,0,1,9,0,2,0,1,0,0,0,2,1,0,1,0,4,3,0,1,0,0,0,0,179,13,1,2,0,0,1,5800.44,50.639802,3.083859
6026,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,4,0,4,1,0,0,0,0,1,2,0,0,2,0,3,1,2,1,1,1,4,4,3,2,5,7,0,0,17,0,0,1,7,0,4,1,0,0,1,1,0,8,10,0,0,0,27,4,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,94,6,0,1,3,0,0,2486.85,50.61155,3.063913
6027,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,6,0,0,3,0,3,0,2,0,2,0,0,0,1,1,2,0,0,0,2,0,0,0,5,0,0,2,0,0,0,2,1,4,3,0,0,1,15,3,0,0,0,0,0,8,0,3,0,0,0,0,0,4,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2399.12,50.644025,2.973667
6028,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0,2,0,0,2,0,3,3,1,1,4,0,0,6,0,0,0,13,0,0,0,0,0,0,0,3,7,9,0,0,1,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74,5,0,0,4,0,0,3542.72,50.627887,3.012009
6029,1,0,0,1,0,0,8,2,0,3,5,1,3,3,6,19,0,15,1,4,1,6,4,5,24,1,2,8,7,15,4,14,3,1,2,5,3,6,4,53,42,0,0,56,0,2,2,66,0,9,2,3,2,5,1,2,7,18,1,1,6,52,5,2,2,0,1,5,15,2,2,1,0,1,1,2,4,1,3,2,0,8,2,1,5,1,0,1,0,257,24,7,2,8,0,0,2489.99,50.620406,3.054701
6030,0,0,0,0,0,0,3,1,0,0,3,1,1,1,2,7,0,3,0,0,0,0,0,0,9,0,0,2,0,6,1,3,0,1,2,0,0,3,5,5,6,0,0,15,0,0,0,30,0,2,5,1,1,0,0,4,9,5,0,0,1,24,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,127,6,1,0,1,0,1,3119.3,50.635163,3.026944
6031,0,0,0,0,0,0,4,0,0,0,2,0,1,1,2,6,0,5,1,0,0,2,1,1,14,0,0,4,0,6,1,4,0,0,1,0,2,4,3,7,7,0,0,17,0,0,0,27,0,2,2,0,0,0,0,3,8,12,0,1,1,19,3,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,117,7,1,0,2,0,1,2512.88,50.638285,3.017871
6032,1,1,0,2,0,1,14,2,2,4,5,3,5,6,8,24,0,16,1,4,1,8,6,3,51,1,2,11,7,19,3,22,4,3,3,3,2,4,20,131,58,0,1,114,1,7,11,159,0,20,9,1,7,20,7,4,4,13,2,1,7,53,6,5,1,0,1,14,30,3,1,1,0,1,1,3,6,0,6,4,1,6,7,2,9,1,0,1,0,366,31,11,5,10,0,0,5558.3,50.625788,3.057972
6033,1,1,0,0,1,0,9,1,0,1,1,1,3,0,6,12,0,4,0,3,7,14,7,0,19,0,1,12,4,6,2,4,0,0,1,2,2,2,4,74,26,0,0,23,0,1,3,127,1,13,2,0,1,87,9,6,9,11,0,0,2,24,0,2,0,1,3,4,117,0,5,0,2,0,0,13,20,0,0,7,3,4,21,3,4,0,0,2,3,124,17,0,1,3,0,2,7166.51,50.645004,3.054825
