,id_parcelle,code_type_local,lon,lat,adresse_complete,prix_m2
163,593503550C3945,1.0,3.011369,50.63714,24 RUE ERNEST COUTEAUX LOMME 59160,2791.31
164,593503550C3940,1.0,3.01091,50.636951,14 RUE ERNEST COUTEAUX LOMME 59160,1435.5
165,593503550C3920,1.0,3.010183,50.6359,104 RUE DU MARECHAL FOCH 59160,2543.68
166,593503550C3910,1.0,3.010941,50.636434,84 RUE DU MARECHAL FOCH 59160,3733.91
167,593503550C3907,1.0,3.011149,50.636555,78 RUE DU MARECHAL FOCH 59160,2825.78
168,593503550C3897,1.0,3.011929,50.636994,58 RUE DU MARECHAL FOCH 59160,2193.66
169,593503550C3884,1.0,3.012357,50.637615,51 RUE JAMES WATT 59160,3040.74
170,593503550C3883,1.0,3.012331,50.637669,53 RUE JAMES WATT 59160,3076.05
171,593503550C3879,1.0,3.012242,50.637877,61 RUE JAMES WATT 59160,2858.13
172,593503550C3877,1.0,3.012169,50.637977,65 RUE JAMES WATT 59160,2527.8
173,593503550C3873,1.0,3.012572,50.638244,86 RUE JAMES WATT 59160,2372.23
174,593503550C3869,1.0,3.012774,50.638059,78 RUE JAMES WATT 59160,3102.23
175,593503550C3860,1.0,3.013048,50.637562,34 RUE DU MARECHAL FOCH 59160,3153.32
176,593503550C3851,1.0,3.008912,50.634948,66 RUE ANATOLE FRANCE LOMME 59160,3534.64
177,593503550C3850,1.0,3.008961,50.634999,66 RUE ANATOLE FRANCE LOMME 59160,3540.53
178,593503550C3845,1.0,3.009103,50.634684,82 AV ARTHUR NOTEBART 59160,2261.23
179,593503550C3840,1.0,3.00936,50.634435,92 AV ARTHUR NOTEBART 59160,2266.5
180,593503550C3836,1.0,3.009512,50.634227,100 AV ARTHUR NOTEBART 59160,4007.36
181,593503550C3828,1.0,3.009917,50.634689,149 AV ARTHUR NOTEBART 59160,3677.2
182,593503550C3820,1.0,3.010313,50.634254,167 AV ARTHUR NOTEBART 59160,1931.75
183,593503550C3815,1.0,3.010462,50.633837,71 RUE MARTYRS DE RESISTANCE 59160,3596.8
184,593503550C3804,1.0,3.004631,50.634706,61 RUE CHARLES SAINT VENANT LOMME 59160,2498.12
185,593503550C3803,1.0,3.004587,50.634656,63 RUE CHARLES SAINT VENANT LOMME 59160,3641.52
186,593503550C3799,2.0,3.005655,50.632901,18 RUE VICTOR HUGO LOMME 59160,2315.88
187,593503550C3798,1.0,3.005311,50.627904,130 RUE JEAN BAPTISTE DUMAS 59160,2882.61
188,593503550C3762,1.0,3.005795,50.627922,120 RUE JEAN BAPTISTE DUMAS 59160,2949.68
189,593503550C3742,1.0,3.004602,50.632968,11 RUE DE L EGALITE 59160,3442.39
190,593503550C3739,1.0,3.00464,50.633093,5 RUE DE L EGALITE 59160,2431.42
191,593503550C3730,1.0,3.005118,50.632581,5 RUE DES ECOLES LOMME 59160,3764.89
192,593503550C3727,1.0,3.005235,50.632496,11 RUE DES ECOLES LOMME 59160,3454.05
193,593503550C3726,1.0,3.005271,50.632471,13 RUE DES ECOLES LOMME 59160,2399.44
