Type_OSM,id_OSM,lon,lat,tuple Lat-lon,Catégories,Sous_Cat,name
node,8464276958,3.0605826,50.6383908,"(50.6383908,3.0605826)",Daily_Life,chocolate,Jean Trogneux
node,6512125023,2.9990139,50.6467718,"(50.6467718,2.9990139)",Healthcare,doctors,Jean-François De Ruyter
node,1913739419,3.0650542,50.6257332,"(50.6257332,3.0650542)",Public_transport,platform,Jeanne d'Arc
node,1913739444,3.0638001,50.6265639,"(50.6265639,3.0638001)",Public_transport,platform,Jeanne d'Arc
node,2917888508,3.0636763,50.6261714,"(50.6261714,3.0636763)",Public_transport,platform,Jeanne d'Arc
node,8464276954,3.0610690,50.6382261,"(50.6382261,3.0610690)",Shopping,shoes,Jef
node,9301445111,3.0650582,50.6352297,"(50.6352297,3.0650582)",Daily_Life,chocolate,Jeff de Bruges
node,1525093503,3.0710276,50.6271094,"(50.6271094,3.0710276)",Outdoor,playground,Jeux de raquettes
node,5111198095,3.0634711,50.6327384,"(50.6327384,3.0634711)",Daily_Life,hairdresser,Jimmy B.
node,6042843008,3.0645257,50.6398621,"(50.6398621,3.0645257)",Daily_Life,optician,Jimmy Fairly
node,9722050803,3.0638233,50.6361470,"(50.6361470,3.0638233)",Daily_Life,optician,Jimmy Fairly
node,7442763317,3.0656259,50.6403907,"(50.6403907,3.0656259)",Shopping,musical_instrument,JM Panhaleux Luthier-Archetier
node,5579032488,3.0622464,50.6362899,"(50.6362899,3.0622464)",Shopping,clothes,JMP Paris
node,9007009302,3.0548681,50.6376670,"(50.6376670,3.0548681)",Healthcare,dentist,Joachim Charon
node,9667924926,3.0529546,50.6463036,"(50.6463036,3.0529546)",Entertainment,pub,Joe Tex
node,4974260621,3.0647064,50.6410096,"(50.6410096,3.0647064)",Entertainment,bar,Joker Bar
node,2303894710,3.0655482,50.6411327,"(50.6411327,3.0655482)",Entertainment,restaurant,Jomon Negishi
node,10028391267,3.0721739,50.6382231,"(50.6382231,3.0721739)",Entertainment,restaurant,Jour
node,4960540124,3.0617863,50.6369924,"(50.6369924,3.0617863)",Entertainment,restaurant,Jour de Pêche
way,65465519,3.0619424,50.6196488,"(50.6196488,3.0619424)",Daily_Life,butcher,JP Teirlinck
node,7467753440,3.0595356,50.6387493,"(50.6387493,3.0595356)",Shopping,clothes,Juju s'amuse
node,6238208883,3.0637600,50.6341268,"(50.6341268,3.0637600)",Shopping,clothes,Jules
node,9415569464,3.0682319,50.6328750,"(50.6328750,3.0682319)",Entertainment,cafe,Juliane
node,8973557353,3.0605536,50.6415319,"(50.6415319,3.0605536)",Daily_Life,hairdresser,Julie et Romain Coiffure
node,8993735607,3.0713163,50.6224335,"(50.6224335,3.0713163)",Healthcare,dentist,Julien Cousin
node,9560626217,3.0187234,50.6403704,"(50.6403704,3.0187234)",Shopping,jewelry,Julien d'Orcel
node,9100538990,3.0611953,50.6288621,"(50.6288621,3.0611953)",Healthcare,dentist,Juliette Bartoli
node,6032496259,3.0648496,50.6389223,"(50.6389223,3.0648496)",Shopping,clothes,Just Over the Top
node,7737709368,3.0650206,50.6387457,"(50.6387457,3.0650206)",Shopping,clothes,Just...ine
node,6133393104,3.0629466,50.6390009,"(50.6390009,3.0629466)",Shopping,clothes,K-Way
node,5274237683,3.0689206,50.6364304,"(50.6364304,3.0689206)",Entertainment,fast_food,KAF - Kiosque à Fraîcheurs
node,9214321577,3.1135279,50.6255068,"(50.6255068,3.1135279)",Entertainment,restaurant,Kairos
node,9083735045,3.0152398,50.6421546,"(50.6421546,3.0152398)",Culture,theatre,Kaléidospot
node,8818589499,3.0748875,50.6119899,"(50.6119899,3.0748875)",Entertainment,fast_food,Kap Tacos
node,5287465805,3.0557979,50.6302529,"(50.6302529,3.0557979)",Entertainment,bar,Karafun Bar
node,7441780969,3.0640269,50.6390479,"(50.6390479,3.0640269)",Shopping,clothes,Karl Marc John
